artista_id,listeners,playcount,artistas_similares
780,90377,1676378,"40mP, DECO*27, ayase"
809,68333,878720,"Dirty Honey, Tremonti, Ayron Jones"
95,684,3065,"Kickoff, Retain, AliPhi"
587,428424,8295333,"Thomas Rhett, Jordan Davis, Russell Dickerson"
61,441623,6945807,"Amtrac, Tourist, Hot Chip"
486,40685,670149,"Amaral, Vanesa Martín, Antonio Orozco"
685,398863,5094299,"Caamp, Mt. Joy, Shakey Graves"
653,97792,1291248,"Russell Dickerson, Thomas Rhett, Sam Hunt"
784,936879,37137038,"The Big Moon, Black Honey, The Last Dinner Party"
627,132008,1922265,"Jordan Davis, Dustin Lynch, Thomas Rhett"
21,839850,22428994,"SBTRKT & Sampha, Jamie xx, Disclosure"
717,100086,3066082,"Mikito P, 25時、ナイトコードで。, cosMo@Bousou-P"
262,111142,1466784,NULL
321,535166,14546677,"Amaia Montero, Amaral, La Quinta Estación"
225,362135,4094870,"Yandel, Nicky Jam, Ozuna"
430,22016,119785,"VCL, Belocca, Indira Paganotto"
504,16563,135827,"David DeMaría, Efecto Mariposa, La Caja De Pandora"
169,1037624,45404728,"Natti Natasha, Becky G, Maria Becerra"
389,19616,806843,"Nikone, Arce, Denom"
599,3159228,102193551,"P.O.D., Shinedown, Three Days Grace"
179,258305,4344937,"Manuel Turizo, Maluma, Mau y Ricky"
180,500248,10774512,"Manuel Turizo, Piso 21, Cali & El Dandee"
777,252867,8590295,"illuminati hotties, Ratboy, Remember Sports"
879,471188,38053782,"MY FIRST STORY, coldrain, SPYAIR"
475,10932,155395,"Juancho Marqués, Easy-S, Shoda Monkas"
756,442170,7808192,"The Symposium, Hot Flash Heat Wave, Crumb"
352,75508,1795983,"Pereza, Sidecars, Vetusta Morla"
282,169049,2222817,"Nova y Jory, Tony Dize, De La Ghetto"
163,1115918,19137994,"Natti Natasha, Karol G, Sofía Reyes"
521,41181,1766595,"Tierra Santa, Warcry, Zenobia"
605,56183,453081,"Nichole Nordeman, Natalie Grant, Sara Groves"
567,107920,1163060,"Jordan Davis, Dustin Lynch, Thomas Rhett"
852,693397,6937813,"John Hiatt, Susan Tedeschi, Tedeschi Trucks Band"
209,104455,1301781,"Bulin 47, Jey One, El Alfa"
851,6442,38871,"Alific, Sensi Trails, Mellodose"
525,4764,18235,"Simon Goff, Sylvain Texier, Mathieu David Gagnon"
859,399583,23721269,NULL
551,35195,227856,"Felipe Santos, José de Rico, Cherito"
520,31818,1358627,"DeLaOssa, Cruz Cafuné, Dellafuente"
850,330621,5195299,"The Unlikely Candidates, Weathers, Castlecomer"
776,2178673,176815276,"A Perfect Circle, Puscifer, Opeth"
339,126608,1809309,"Ana Mena, Vicco, Lola Indigo"
634,990555,19734698,"The Happy Fits, The Unlikely Candidates, I DONT KNOW HOW BUT THEY FOUND ME"
436,16918,305559,NULL
866,179185,4688270,"TTNG, Hikes, Floral"
647,508526,28281898,"BUMP OF CHICKEN, back number, Mrs. GREEN APPLE"
182,292500,5630846,"Mau y Ricky, Sebastián Yatra, Piso 21"
249,42712,921219,"Dei V, Omar Courtz, YOVNGCHIMI"
260,135668,3062189,"Nicki Nicole, La Joaqui, Bizarrap"
447,13639,223611,"Fyahbwoy, Little Pepe, Rapsusklei"
871,6286871,417373439,"Kurt Cobain, Alice in Chains, Soundgarden"
636,1873679,49781672,"White Zombie, Powerman 5000, Marilyn Manson"
265,93018,1941056,NULL
619,1803406,51526564,"Love Fame Tragedy, Circa Waves, Sea Girls"
47,852269,23984044,"Rival Consoles, Four Tet, Nils Frahm"
666,959722,19050802,"Jason Aldean, Florida Georgia Line, Lee Brice"
713,605795,19565816,"Mon Laferte, Natalia y La Forquetina, Silvana Estrada"
245,68310,616239,"Darell, Brray, Ñengo Flow"
721,1167119,44509892,"J. Tillman, Fleet Foxes, Courtney Barnett"
424,118947,989605,"Mari Trini, Myriam Hernández, Cecilia"
325,34234,403534,"Manuel Carrasco, Antonio Orozco, David Bisbal"
363,26929,398574,"Vicco, Lola Indigo, Lérica"
374,14267,239266,"Travis Birds, Xoel López, Rozalén"
335,84817,851263,"Edurne, El Sueño de Morfeo, CHICA SOBRESALTO"
885,189526,8375216,NULL
239,40323,1355030,"El Jordan 23, Cris Mj, ITHAN NY"
463,104294,854121,"Itzhak Perlman, Isabelle Faust, Julia Fischer"
288,18500,174537,"Carly, Zaramay, Joniel"
735,167856,1298348,"Dumbo Gets Mad, The Holydrug Couple, Orions Belte"
110,642430,22325416,"Fritz Kalkbrenner, Marek Hemmann, Sascha Funke"
887,139768,1594615,"Junkie, Israel's Arcade, Jurassic Shark"
127,660079,14417915,"Little People, The Herbaliser, RJD2"
603,60349,313975,"The Elovaters, Tropidelic, The Movement"
812,60032,1989156,"Kim Daniel, Off The Menu, wave to earth"
342,12841,166090,"Dani Fernández, Álvaro De Luna, Marlena"
642,35169,344510,"Meghan Patrick, Sean Stemaly, Josh Ross"
232,116028,2747899,"Anuel AA, Brytiago, Miky Woodz"
437,5622,23624,"Weska, Brennen Grey, Loco & Jam"
724,821407,33006921,"The National, Wild Pink, Kurt Vile"
170,767783,15330906,"Romeo Santos, Monchy & Alexandra, Prince Royce"
836,59297,1183541,"HANABIE., 鬱P, Crystal Lake"
562,164659,1666467,"Kane Brown, Niko Moon, Old Dominion"
117,6278,19794,"Andy Bianchini, Marina Diniz, Lukke"
302,29871,372019,"Alvaro Diaz, ALVAR0 DAYS, Mora"
41,240921,4285343,"Agoria, Joris Delacroix, Worakls"
545,1916,76667,"Sauze, Dünedain, Sylvania"
448,11054,185720,"Green Valley, Nikone, El momo"
615,42421,433072,"The Movement, The Elovaters, Stick Figure"
797,815993,31239998,"Zakk Wylde, Pride & Glory, Down"
28,668041,29383930,"Apparat, Modeselektor, Weval"
820,3402741,197255568,"The Postal Service, Ben Gibbard, The Shins"
673,257919,5056541,"MercyMe, Big Daddy Weave, Casting Crowns"
131,4677,61098,"Danny Howells, Hernan Cattaneo, Derek Howell"
112,265912,2725549,"Hot Chip, Caribou, Agoria"
97,676390,13073828,"Etienne de Crécy, Boys Noize, Thylacine"
256,263497,12696095,"Myke Towers, Jhayco, Feid"
160,1442310,195820165,"Rauw Alejandro, Mora, Jhayco"
679,87705,1961097,"Caligula's Horse, Haken, Earthside"
175,168497,11486649,"Jhayco, ALVAR0 DAYS, Papi Sousa"
80,152162,3120921,"Christian Löffler, David August, Parra for Cuva"
173,402142,7049301,"Piso 21, Maluma, Mau y Ricky"
479,57886,2620231,"Vetusta Morla, Viva Suecia, Arde Bogotá"
397,131715,717758,"Chad & Jeremy, Paul Revere & The Raiders, The Bob Seger System"
18,240504,4793702,"DJ Seinfeld, DJ Boring, Mall Grab"
167,697669,19437982,"Sech, Nicky Jam, Wisin"
377,169550,1362699,"Isaac Albéniz, Leo Brouwer, Joaquín Rodrigo"
764,5148591,225184441,"Keith Richards, The Who, The Kinks"
411,10863,265334,"Juancho Marqués, Hens, Lionware"
252,283022,11162498,"Lit Killah, Duki, Trueno"
609,2066324,99020044,"Sir Sly, Joywave, alt-J"
894,1640079,31675063,"Tom Petty, Mudcrutch, John Mellencamp"
192,376399,6133723,"Wisin, Wisin & Yandel, Daddy Yankee"
194,663204,11588697,"Don Omar, Tony Dize, Daddy Yankee"
12,2318099,78616972,"Sebastian, Daft Punk, Gesaffelstein"
834,203299,2713861,"Randy Houser, Justin Moore, Dierks Bentley"
119,9692,69769,"VAN17INO6, iuky, Gazzi"
898,2732588,100799711,"Passion Pit, Two Door Cinema Club, Vampire Weekend"
656,263185,3878834,"Andy Grammer, Mat Kearney, Jon Foreman"
863,2069224,38152626,"Jefferson Starship, Quicksilver Messenger Service, Country Joe & The Fish"
83,8549,42220,NULL
347,14660,192680,"Carmen 113, Siloé, Comandante Twin"
381,89487,2040042,"Love of Lesbian, Caloncho, Izal"
654,209019,2975576,"MercyMe, Tenth Avenue North, Building 429"
143,2678941,107618713,"The Funky Lowlives, Hird, Nuspirit Helsinki"
497,22923,278559,"Decai, La Húngara, Sergio Contreras"
750,190138,3375889,"Bohnes, Adam Jensen, Layto"
159,14902,162500,NULL
763,6551,22069,"Alific, Sensi Trails, Kyle Ahern"
273,45786,796230,"Luar La L, Anuel AA, Cosculluela"
349,30862,621508,"Maldita Nerea, Miki Núñez, Despistaos"
698,216419,2839962,NULL
527,5860,55269,"Marcelo Criminal, Diamante Negro, el buen hijo"
417,40976,945085,"SFDK, Nach, KASE.O"
204,172936,2777080,"Omar Montes, Quevedo, Morad"
711,649806,10786420,"LOVING, Brad stank, Banes World"
733,40236,438213,"Riley Green, Cole Swindell, Justin Moore"
814,3693448,116295114,"Jerry Lee Lewis, Chuck Berry, Little Richard"
839,222274,5288689,"Wednesday, Hovvdy, Greg Freeman"
792,404947,8984525,"Switchfoot, MercyMe, Tenth Avenue North"
211,311789,6139938,"Dalex, Justin Quiles, Ozuna"
741,214860,1947821,"The Expendables, The Movement, Iya Terra"
235,289150,4144457,"Becky G, Karol G, Farina"
450,55784,2685169,"Tierra Santa, Saratoga, Saurom"
808,31238,420077,"Iya Terra, Arise Roots, Tribal Seeds"
2,1337738,67494921,"Samiyam, Teebs, Daedelus"
295,207621,2107059,"Arcángel, Wisin & Yandel, Tego Calderón"
425,16802,314542,"Toteking & Shotta, Tote King, Xhelazz"
872,232575,3572586,"Donovan Woods, William Fitzsimmons, Joshua James"
392,30597,614187,"Hazhe, Shotta, Xhelazz"
880,110342,4337203,"a flood of circle, ヒトリエ, PEOPLE 1"
528,50196,569505,"Andy & Lucas, El Barrio, Estopa"
807,52366,860624,"Jeremy Camp, MercyMe, TobyMac"
573,275926,3881403,"Justin Moore, Jason Aldean, Florida Georgia Line"
841,127914,1095927,"The Temperance Movement, The Cold Stares, Dirty Honey"
518,23378,487691,"Lazarus A.D., Ultra-Violence, Dust Bolt"
522,31007,449900,"Anne-Sophie Mutter, Renaud Capuçon, Hilary Hahn"
737,14142,76850,"tribl, Dante Bowe, Joe L Barnes"
125,127647,6004121,"Dënver, Alex Anwandter, Francisca Valenzuela"
77,30817,223068,"Allen Nova, Slowpalace, niko rain"
480,7320,297101,NULL
623,2184064,69899196,"Vance Joy, Caamp, The Head and the Heart"
334,106641,11162528,NULL
728,352274,8566653,"Cleopatrick, DEAD POET SOCIETY, Badflower"
697,39458,356469,"Little Stranger, DENM, Bumpin Uglies"
128,361559,4905020,"Miss Kittin & The Hacker, Vive La Fête, The Hacker"
126,108569,1212393,NULL
51,735076,20708320,"Four Tet, Joy Orbison, Nosaj Thing"
722,1016388,61652217,"The Prize Fighter Inferno, The Dear Hunter, Closure in Moscow"
427,67734,889961,"Ruth Lorenzo, Ana Guerra, Sofía Martín"
458,39735,1989954,"Biznaga, Cala Vento, La Plata"
705,471419,9156254,"Los Auténticos Decadentes, Los Pericos, Vicentico"
564,207258,3361845,"Russell Dickerson, Thomas Rhett, Cole Swindell"
201,123181,1969563,"Brytiago, Dalex, Ozuna"
745,425833,7652857,"Iration, Tribal Seeds, Stick Figure"
31,1574445,29653560,"Groove Armada, Leftfield, Energy 52"
864,671801,21041193,"Courtney Barnett & Kurt Vile, Julia Jacklin, The Beths"
348,50626,1945730,"Amaia, Belén Aguilera, Vicco"
215,87351,1654421,"Natanael Cano, David Santos, Bhavi"
315,133580,2165143,"Pol Granch, Álvaro De Luna, Samuraï"
39,2657,13180,"Khan Kalima, Antonio Polichiso, Manybeat"
134,7244,24266,"Col Lawton, DeMajor, Denton (UK)"
757,696157,9270953,"Robert Plant And The Strange Sensation, Page & Plant, Robert Plant & Alison Krauss"
423,29703,626507,NULL
601,3120798,126083564,"Saint Asonia, Breaking Benjamin, Seether"
644,3464209,252370290,"Korn, Stone Sour, System of a Down"
308,1329229,20953625,"Wisin & Yandel, Daddy Yankee, Tony Dize"
257,185365,7308543,"Lali, Tini, Emilia"
176,375761,4239819,"Sky Rompiendo, Omar Montes, Brytiago"
358,7043,257144,"Pole., Sinsinati, Brock Ansiolitiko"
837,123687,1443123,"BarlowGirl, Point of Grace, Fireflight"
774,26100,127295,"The Sheepdogs, Current Swell, Larkin Poe"
683,141299,1843736,"MercyMe, Josh Wilson, Jeremy Camp"
818,6802318,925130777,"Thom Yorke, Atoms for Peace, Jeff Buckley"
33,226769,3983244,"Mammal Hands, GoGo Penguin, Lund Quartet"
248,18584,209171,"RobGz, Producto Sin Corte, Clarent"
184,290311,7183799,"De La Ghetto, Anuel AA, Jhayco"
402,10490,258529,"R de Rumba, Lírico, Hazhe"
32,1542062,80076025,"This Will Destroy You, Explosions in the Sky, Caspian"
399,84197,2256815,NULL
309,121296,5453669,"Duki, Eladio Carrion, Rels B"
591,2331945,59375030,"Boys Like Girls, Good Charlotte, All Time Low"
268,88786,636859,"Her New Knife, Doused, They Are Gutting a Body of Water"
400,19429,803661,"Ayax y Prok, Kaze, Natos y Waor"
813,2276606,37796911,"Generation X, Duran Duran, INXS"
386,22803,212111,"Rusowsky, Sen Senra, JUDELINE"
512,14040,241947,"Marta Soto, Marilia Monzón, Gèrard"
682,1009682,9165757,"Sheena Easton, Debbie Gibson, Melissa Manchester"
233,53310,263521,"Baby Rasta & Gringo, Vico C, Cosculluela"
611,334855,8994148,"Alan Menken, Descendants – Cast, Stephen Schwartz"
740,132031,2449194,"Elsa y Elmar, Manuel Medrano, Juan Pablo Vega"
136,1287,4484,"Manybeat, Gabriel Dominguez, Gustavo Dominguez"
190,270064,8983887,"Mora, Myke Towers, Anuel AA"
616,180171,2302864,"Cole Swindell, Chris Young, Dylan Scott"
89,551036,9820711,"Underworld, Vök, Röyksopp"
122,10386,39098,"Ammo Avenue, Kocham, Ken Kelly"
299,16409,102961,"Benny Benni, Omy de Oro, Cauty"
677,171894,1389371,"Teen Mortgage, Bad Nerves, Frankie and the Witch Fingers"
120,143649,1324273,"Talaboman, Move D, Daphni"
306,87294,1360478,"Ele A El Dominio, Jamby El Favo, Bryant Myers"
108,50094,1894985,"Paco Amoroso, DJ Alex, Ca7riel, Paco Amoroso"
494,4862,46922,NULL
272,40113,439644,"Juliito, RobGz, Joyce Santana"
341,4535,7078,"Adriano Spampanato, Czech Symphony Chamber Group, Levon Forever"
203,777122,21700450,"J Balvin, Manuel Turizo, Piso 21"
241,200375,1826323,"Yandel, Angel y Khriz, Daddy Yankee"
15,35417,609458,"El Zar, Bandalos Chinos, Él mató a un policía motorizado"
23,526322,12770218,"Plaid, Chris Clark, Rival Consoles"
791,105597,1320310,"bludnymph, FKA Rayne, Tillie"
313,61011,521795,"Beéle, Dalex, Sech"
331,42162,784419,"Venues, Conquer Divide, Beyond the Black"
526,3001,29698,"ZATU, Shotta, Juaninacka"
380,16600,473965,"Hard GZ, J Dose, Ayax"
742,35267,318894,"Brothers Osborne, Eric Church, Dierks Bentley"
514,11088,322151,"Dragonfly, Zenobia, Avalanch"
799,158147,2877326,"The Derek Trucks Band, Susan Tedeschi, The Marcus King Band"
695,5342094,440642553,"Royal Blood, Nothing But Thieves, Franz Ferdinand"
58,19443,378550,"Ptaki, CS + Kreme, Gaussian Curve"
